TweetId,TweetUsername,TweetText,TweetDate,Precision,Sentiment,,,,
1.01E+18,SawdEye,"I don't think any movie has ever ""what the fuck""-ed me more than HEREDITARY. Not THE BABADOOK, not nothin'. Essential and horrifying beyond words.",2018-06-23 23:47:06+00:00,1,0,,,,
1.01E+18,PoppedCrawdaddy,"Maybe it's just me, but it really seems like audiences are getting less savvy, to be diplomatic, and it hurts me to hear Hereditary get savaged because ""What's going on?"" While the same person would go into JW2 and potentially enjoy the clone ""twist"" despite lazy telegraphing.",2018-06-23 23:46:41+00:00,1,1,,,,
1.01E+18,skylookssticky,pues porque ha ido a ver hereditary lmao,2018-06-23 23:46:26+00:00,0,,,,,
1.01E+18,JustinsCherie,Just watched hereditary and I wouldnâ€™t really recommend it,2018-06-23 23:46:10+00:00,1,2,,,,
1.01E+18,melissafoxmedia,"Ponytail, laptop in my t-shirt and jeans keepinâ€?it real and writing up a storm. Saw Hereditary and have LOTS to say about it. Sooo good. Skip the junk blockbusters that are out right now and go get weird with this one. Itâ€™ll stir you up. Blog coming sooâ€?https://ift.tt/2KezwXk pic.twitter.com/z4IRHBxP2f",2018-06-23 23:46:00+00:00,1,2,,,,
1.01E+18,are_jay_88,Josh tried to justify the car wreck that is Jurassic World. Donâ€™t come at me with that BS. Worst movie of the the franchise and itâ€™s not even close. I watched to flops this week starting with Hereditary. Ant-man & The Wasp needs to save me from going 0-3,2018-06-23 23:45:46+00:00,1,1,,,,
1.01E+18,ro_haddad,"Fui ver o tal #Hereditary que tanta gente (incluindo crÃ_ticos) estÃ¡ chamando de ""melhor terror dos Ãºltimos anos"", ""incrivelmente assustador"", ""indicaÃ§Ã£o ao Oscar pra Toni Colette"", e meu Deus, que filme ruim. NÃ£o engraxa o sapato de ""Get Out!"", ""Insidious"" e ""The Conjuring"".",2018-06-23 23:45:39+00:00,0,,,,,
1.01E+18,jpmclovin,"A mÃ_ me encantÃ_ Hereditary pero eso de sentirte mÃ¡s inteligente porque te gustÃ_ te la debo, eh.",2018-06-23 23:45:37+00:00,0,,,,,
1.01E+18,EyesWatchin,"Spoiler Alert: So I went to see #Hereditary and well... Pacing was slow, some talky scenes went on too long, creepy bits were creepy but the final five minutes or so ruined the entire film.",2018-06-23 23:45:31+00:00,1,0,,,,
1.01E+18,Thpnicholas,Hereditary had me shook,2018-06-23 23:44:57+00:00,1,2,,,,
1.01E+18,MCFUBB,"If you're looking for a good mind-f*ck, go see #Hereditary",2018-06-23 23:44:30+00:00,1,2,,,,
1.01E+18,DullTwig,"I just got out of hereditary? I either need to watch it again or read like 2 hours of articles dissecting it, there's gotta be so much I didn't pick up on",2018-06-23 23:44:01+00:00,1,2,,,,
1.01E+18,lonny_aster,Boiiii if you loved Hereditary youâ€™re gonna be obsessed with The Witch!,2018-06-23 23:43:39+00:00,1,1,,,,
1.01E+18,RubenSancte,"CreÃ_ que serÃ_a #Hereditary, pero no. La mejor peli de terror del aÃ±o es #LaManada 2: El regreso.",2018-06-23 23:43:01+00:00,0,,,,,
1.01E+18,tsukiyamafucker,if anyone's interested in seeing hereditary... don't it sucks,2018-06-23 23:42:17+00:00,1,0,,,,
1.01E+18,flxwers,Hereditary is a very strange film,2018-06-23 23:42:12+00:00,1,1,,,,
1.01E+18,AllAboutNay_,Going to see Hereditary,2018-06-23 23:42:00+00:00,1,1,,,,
1.01E+18,RobBurisek,...Only thing scarey about Hereditary was when I checked the time and realized it still had another 45 mins to go,2018-06-23 23:41:50+00:00,1,1,,,,
1.01E+18,_raulgs,Hereditary - Trailer espaÃ±ol (HD) https://youtu.be/7jMdzpZgqb4 vÃ_a @YouTube,2018-06-23 23:41:44+00:00,1,1,,,,
1.01E+18,Eva_B89,"A Facebook friend just described Hereditary as a film that ""attacks"" you, and that's so spot on. I was shaking by the end.",2018-06-23 23:41:36+00:00,1,2,,,,
1.01E+18,capirojesca,Eu tÃ´ muito apaixonada por November (Vou tentar ir em Hereditary essa semana),2018-06-23 23:41:18+00:00,1,1,,,,
1.01E+18,thisovd,To loko do cy pra ver Hereditary!,2018-06-23 23:40:39+00:00,1,2,,,,
1.01E+18,ItsxRo,"No veais Hereditary, es una mierda enorme, nos estamos quedando todos dormidos",2018-06-23 23:40:10+00:00,1,1,,,,
1.01E+18,Jan231,"Ik snap niet wat de verzamelde critici in Hereditary zien. Ik vond het maar een trage, weinig boeiende film die ook nog eens totaal niet eng was. Op zeker moment was de film zijn publiek kwijt en werd er alleen nog maar wat gelachen. Meest overschatte film van 2018 tot nu toe.",2018-06-23 23:39:56+00:00,1,1,,,,
1.01E+18,Ms_Destructo,#Hereditary this emote is bad ass,2018-06-23 23:39:50+00:00,1,0,,,,
1.01E+18,esquizofreniia,"Ontem vi November, hoje Hereditary, e sÃ_ consigo pensar: que ano excelente pro gÃªnero. Que ano bom pra se estar viva.",2018-06-23 23:38:56+00:00,1,2,,,,
1.01E+18,cinematicorgasm,"wih, Hereditary???? https://twitter.com/FeatPictures/status/1010592132669689856 â€?,2018-06-23 23:38:31+00:001010668221970542593,the_alexiad,HEREDITARY THOUGH Like the beginning was too intense for me. But I loved the rest"," and beginning wouldnâ€™t have been too much if it hadnâ€™t been well done.""",1,1,,,,
1.01E+18,areychewayes,Gusto ko rin mapanuod yung HEREDITARY https://twitter.com/kimpoyfeliciano/status/1010496778121035777 â€?2018-06-23 23:37:29+00:00,,0,,,,,
1.01E+18,ohmsbeIiever,honestly the biggest emotion during hereditary was my overpowering instinct to just protect lil baby peter,2018-06-23 23:36:48+00:00,1,1,,,,
1.01E+18,selinakley,HEREDITARY FUCKED ME UP,2018-06-23 23:35:38+00:00,1,0,,,,
1.01E+18,kyotocosmology,"I see now that telling myself Hereditary would be like Housebound but with a few less laughs was wholly the wrong approach, big props to the girls behind me who exhaled the deepest & most profound synchronised ""JESUS"" in the credit roll",2018-06-23 23:34:23+00:00,1,2,,,,
1.01E+18,NijahMonique_14,I wanna see hereditary,2018-06-23 23:33:47+00:00,1,2,,,,
1.01E+18,NahItsDirt,@ZSharf yo itâ€™s dev my phones broken but hereditary thoooooo,2018-06-23 23:33:40+00:00,0,,,,,
1.01E+18,rabiasquared,Ididnotunderstand #Hereditary,2018-06-23 23:33:02+00:00,1,0,,,,
1.01E+18,knftlany,i want to watch hereditary !!!!!,2018-06-23 23:32:52+00:00,1,2,,,,
1.01E+18,Only_Kennedi,Someone go see hereditary with me tonight,2018-06-23 23:32:35+00:00,1,1,,,,
1.01E+18,MrDavidWhelan,Iâ€™ve seen two films this month that will stay with me for totally different (but all good) reasons: HEREDITARY and BRAWL IN CELL BLOCK 99. get seeing them.,2018-06-23 23:32:22+00:00,1,2,,,,
1.01E+18,JonathonGarrard,Just saw Hereditary. No idea whether I liked it or not. I'm utterly baffled.,2018-06-23 23:32:05+00:00,1,1,,,,
1.01E+18,skepticdoodles,"I want to go watch hereditary, and my mom is legit calling me a satanist over it. Religious family's everyone.",2018-06-23 23:31:39+00:00,1,1,,,,
1.01E+18,wherestatyana,"Hereditary got me spooooked. When the mom was on the wall LMAOOOO. I felt bad for the son, the whole movie man. https://twitter.com/UnknwnTrev/status/1010459932146073600 â€?,2018-06-23 23:31:11+00:001010666435230748677,youcouldnever_,I finally saw Hereditary and I thought it was so good!,2018-06-23 23:30:30+00:001010666314921332736,SarahhElizabeth,iâ€™m drinking a drink called the titosaurus and i have a popcorn the size of my head and iâ€™m ready to see hereditary,2018-06-23 23:30:01+00:001010666273137557505,se4un,me and my bro skipped a family party to go out to eat and watch hereditary,2018-06-23 23:29:51+00:001010666224479625218,JScottPollard,Seeing HEREDITARY tonight after watching WONâ€™T YOU BE MY NEIGHBOR? last night with mi madre. This is the kind of weekend I live for. Summer weather runs during the day"," movies at night.""",1,2,,,,
1.01E+18,gyllenut,"hahah there are guys talking about hereditary and i want to talk with them cause they understand my obsession with this movie cuz my friend thinks it wasnt good,,",2018-06-23 23:29:33+00:00,1,0,,,,
1.01E+18,DesyDrama,He visto hace 1 hora #Hereditary y confieso que llevo 1 hora analizando todo el contenido...,2018-06-23 23:29:01+00:00,0,,,,,
1.01E+18,CocoaBean_94,Saw three movies today: Hereditary>>Incredibles 2>>>>Jurassic World: Fallen Kingdom.,2018-06-23 23:28:41+00:00,1,1,,,,
1.01E+18,Circus_Macabre,"My immediate, post cinema, having a recovery pint reaction is that I fucking loved Hereditary.",2018-06-23 23:28:03+00:00,1,2,,,,
1.01E+18,kurestinarmada,"Everyone who recommended Hereditary owes me a dollar, Venmo and cash accepted",2018-06-23 23:27:44+00:00,1,0,,,,
1.01E+18,CerealSerg,I want to go watch Hereditary,2018-06-23 23:27:38+00:00,1,2,,,,
1.01E+18,jaccqqueeee,watching hereditary... smellls like bitch in here and itâ€™s me lmfao,2018-06-23 23:27:34+00:00,1,0,,,,
1.01E+18,ceci_ramirez22,Hereditaryâ€™s ending...what even??,2018-06-23 23:26:56+00:00,1,1,,,,
1.01E+18,circa1570,Click to #win a signed #Hereditary Poster with @HeyUGuyshttps://www.heyuguys.com/win-a-signed-hereditary-poster/ â€?2018-06-23 23:26:55+00:00,,1,1,,,,
1.01E+18,coramante,"vamos ver hereditary vei, eu nunca te pedi nada",2018-06-23 23:26:51+00:00,0,,,,,
1.01E+18,herbicidol,the nervous laughter in my theatre after hereditary ended was so funny djjsjsjs,2018-06-23 23:26:32+00:00,1,2,,,,
1.01E+18,strwbrrysana,"I know shite abt films but i live for films like hereditary, the witch and goodnight mommy",2018-06-23 23:26:27+00:00,1,2,,,,
1.01E+18,RBalta1,"Hereditary Ã© uma bosta, mas filme de terror Ã© isso mesmo. Errado Ã© quem espera diferente.",2018-06-23 23:26:06+00:00,0,,,,,
1.01E+18,blingzzx0,hereditary was the WORST movie ever and to the people saying it was scary???? no,2018-06-23 23:25:36+00:00,1,0,,,,
1.01E+18,not_ashmanda,Saw Hereditary earlier! Then had maybe the most unsatisfying meal ever,2018-06-23 23:25:06+00:00,1,2,,,,
1.01E+18,elbowteen,I need someone to go see that scary Hereditary movie because I love horror movies but Iâ€™m also a gigantic baby someone pls hold my hand,2018-06-23 23:24:59+00:00,1,2,,,,
1.01E+18,NessmaKh22,Ø¨Ø_ Ø_Ù„Ùˆ Ø§Ù† Ø§Ù„Ù†ÙˆØ± Ù‚Ø·Ø_ .. Ù„Ø§ Ù‚Ø·Ø_ Ùˆ Ø§Ù†Ø§ Ù„Ø_Ù‡ Ø´Ø§Ù_ÙÅØ© Ø§Ù…Ø¨Ø§Ø±Ø_ ÙÅÙ_Ù„Ù… hereditary .. Ø§Ù†Ø§ Ø_Ø§Ù_Ø_Ø© Ø§Ø_Ù_Ø·,2018-06-23 23:24:38+00:00,0,,,,,
1.01E+18,arachneproject,I have to drive an hour to see Hereditary and no one will go with me. Lame.,2018-06-23 23:24:17+00:00,1,1,,,,
1.01E+18,fitzwilliamsolo,seated for hereditary,2018-06-23 23:23:21+00:00,1,1,,,,
1.01E+18,GeekTalk01,Han Solo Discussion; Hereditary Review; E3: http://youtu.be/AlkO7phUeiM?a via @YouTube,2018-06-23 23:22:37+00:00,1,1,,,,
1.01E+18,kt_mthr,the most fucked up part of Hereditary was how the son sleeps with his bedroom door open (?????),2018-06-23 23:22:12+00:00,1,1,,,,
1.01E+18,catharticlinnea,"ok y'all know how EVERYONE romanticizes dark circles with guys?? CAN WE EXTEND THAT TO EVERYONE PLS!??? they're my biggest insecurity, they're hereditary, and they're here to stay so instead of telling me to constantly conceal them... LOVE EM THEY MAKE ME LOOK HOT N DEAD TF???",2018-06-23 23:22:08+00:00,0,,,,,
1.02E+18,vibewithme18,"I struggle everyday with mental illness. Itâ€™s directly hereditary in my entire family, so itâ€™s a conscious fight everyday. Shoutout to my friends for being understanding to my anger outburst, recklessness or even the days I feel like I can no longer go on. So grateful",2018-07-06 23:57:17+00:00,0,,,,,
1.02E+18,blonstark,Ves a ver â€œHereditaryâ€?al cine (o cuando llegue a movistar+). Te va a gustar.,2018-07-06 23:56:57+00:00,0,,,,,
1.02E+18,ContempOBGYN,"Gynecologists and gynecologic oncologists are both positioned to identify candidates for hereditary cancer testing. Our ""Beginner's guide to single-gene testing ins gynecologic care"" can help you understand the benefits and limits of testing. https://buff.ly/2lX3lBh pic.twitter.com/z50oRqAOxf",2018-07-06 23:55:04+00:00,0,,,,,
1.02E+18,RubenDeparki,Hereditary de nuevo eh bribÃ_n?,2018-07-06 23:54:25+00:00,1,1,,,,
1.02E+18,Danielleri,"I also canâ€™t go anywhere in the vicinity of sad movies/songs or even like, sad/heartwarming pet videos. I pretty much just want to watch Hereditary-level disturbing horror on repeat for every waking hour.",2018-07-06 23:54:22+00:00,1,2,,,,
1.02E+18,hedronresonance,we are FINALLY gonna see hereditary. and im lazy but attempting to clean up my room so i can find The Outfit necessary to view it,2018-07-06 23:52:01+00:00,1,1,,,,
1.02E+18,ticketsourceus,"""Hereditary"", Bookhouse Cinema, MO from Fri 20 til Thu 26 Jul 2018, #cinema tickets:https://goo.gl/RNJ611",2018-07-06 23:50:32+00:00,1,1,,,,
1.02E+18,thinagedream,hereditary,2018-07-06 23:47:15+00:00,1,1,,,,
1.02E+18,IndiaKaNews,Milly Shapiro relives a scene from her real life in horror film Hereditary! #news #politics #headlines #indianNews #indiahttp://www.dnaindia.com/hollywood/report-milly-shapiro-relives-a-scene-from-her-real-life-in-horror-film-hereditary-2628156 â€?2018-07-06 23:46:52+00:00,,1,1,,,,
1.02E+18,alibertarian,"@stevennovella Pretty sure the movie ""Hereditary"" took a direct dig at you. A primary character talked about a seance with ""skeptics and even one who is a neurologist"". All were convinced after the seance.",2018-07-06 23:46:49+00:00,1,2,,,,
1.02E+18,CastillaManuel,"#Hereditary es una pelÃ_cula con mucho hijoputismo, como debe ser.",2018-07-06 23:45:56+00:00,0,,,,,
1.02E+18,zorawinfred,"The audience and critic reception to this, Hereditary, and Get Out are so much more off the mark, conforming, and upturned than theyâ€™ll ever realize. But itâ€™s too annoying and pathetic imo to even be at all amusing. Itâ€™s whatever though, lol.",2018-07-06 23:45:38+00:00,1,1,,,,
1.02E+18,vickysilarak,i watched hereditary like a week ago and it was so scary i still remember every single scene,2018-07-06 23:44:37+00:00,1,2,,,,
1.02E+18,colgantes_,he salido hace un rato de ver hereditary y por un lado no he visto pelÃ_cula que me haya angustiado tanto (en un momento estaba a punto de llorar) pero por otro se rÃ_e del espectador y me cabrea mucho,2018-07-06 23:44:05+00:00,0,,,,,
1.02E+18,TheHaltApple,Hereditary properly fucked with my head. Deeply unsettled me in a way that no horror film has done in a long time...definitely a cult classic in the making.,2018-07-06 23:43:38+00:00,1,1,,,,
1.02E+18,the1johnnyd,"Iâ€™m well aware of the irony. Hey, itâ€™s hereditary #dad #luka",2018-07-06 23:43:37+00:00,1,1,,,,
1.02E+18,Ruben_dplopez,"Â¿Es una mierda #Hereditary ?No. Pero no es lo mejor del gÃ©nero. Remueve pocas cosas dentro, descontando los sustos, los falsos planos engaÃ±osos y el drama familiar de la superaciÃ_n de un trauma. AquÃ_ si es donde reside el nÃºcleo de la historia que funciona. El resto es artificio",2018-07-06 23:42:52+00:00,0,,,,,
1.02E+18,yellow_201,Por fin vine al cine a ver Hereditary... y pues ya pic.twitter.com/W3XOEStbWq â€?at Scotiabank Theatre,2018-07-06 23:42:20+00:00,0,,,,,
1.02E+18,clarkaksnes,minha vida sÃ_ vai fazer sentido quando eu assistir: Hereditary Disobedience A Quiet Place vulgo filmes do ano,2018-07-06 23:41:58+00:00,1,1,,,,
1.02E+18,HeyAprill,"Bags, dark circles or both? Are those dark circles hereditary, due to lack of rest, or from eye rubbing? https://twitter.com/Xoxo__tiff_/status/1015379563042385920 â€?,2018-07-06 23:40:35+00:001015380003008208899,cowsgomoo212,hereditary round 2 pic.twitter.com/xdYLYNjXjL,2018-07-06 23:40:32+00:001015379932342611968,Ruben_dplopez,PasÃ© mÃ¡s miedo viendo El silencio de los corderos o La invitaciÃ_n(gran thriller psicolÃ_gico humilde) """"Un lugar tranquilo"""" al menos intento crear su mundo con escenas de acciÃ_n(puede q ya vistas) pero no usa secundarios tramposos. #Hereditary si lo hace (amiga medium)""",2018-07-06 23:40:15+00:00,1,1,,,,
1.02E+18,_juandingo,Hereditary is too scary for me,2018-07-06 23:38:28+00:00,1,0,,,,
1.02E+18,JANGANSENTUHAQq,emang ngga di takdirkan nonton hereditary kali ya wkwkw,2018-07-06 23:38:19+00:00,1,2,,,,
1.02E+18,Ruben_dplopez,"El Ritual juega bien adentrando el mundo de rituales fantÃ¡sticos y creencias, cosa que se desmadra en #Hereditary . El clÃ_max final es tramposo, rÃ¡pido y fÃ¡cil queriendo jugar a engaÃ±ar y con ese plano final y voz off explicativa y tan onÃ_rico. WHY!",2018-07-06 23:36:51+00:00,0,,,,,
1.02E+18,Ashpolt,Recent example: Hereditary. Though if I'd had that spoiled I would've known the ending was shit and not to bother.,2018-07-06 23:36:05+00:00,1,0,,,,
1.02E+18,uglypotatou,"Kepikiran Hereditary, nih. Tapi bukan exactly mikir soal Hereditary /lha",2018-07-06 23:35:35+00:00,1,1,,,,
1.02E+18,Ruben_dplopez,"Una peli mucho mÃ¡s sencilla tirando por la misma temÃ¡yica que #Hereditary es #ElRitual (tiene sus fallos al final)pero en conjunto los 4 protagonistas y perdonajes tienen un peso especÃ_fico en la trama,ademÃ¡s de su mundo interior desarrollado hasta cierto punto",2018-07-06 23:35:01+00:00,0,,,,,
1.02E+18,roxietheater,HEREDITARY haunts the Roxie until 7/12! Get your tix now for this summer's standout horror flick: https://bit.ly/2J126dq pic.twitter.com/bhJ9cN6V6n,2018-07-06 23:34:43+00:00,1,1,,,,
1.02E+18,christinehchun,"Ok wait, I did not like hereditary tho...",2018-07-06 23:33:42+00:00,1,0,,,,
1.02E+18,donthaveacowmab,google hereditary + putlocker i watched it there n it was good quality!!!!,2018-07-06 23:32:15+00:00,1,2,,,,
1.02E+18,gengen2428,Mi Ã¨ piaciuto un video di @YouTube: http://youtu.be/qMdyxVlORuM?a HEREDITARY - LE RADICI DEL MALE | Nuovo Trailer del Film Horror con Toni,2018-07-06 23:30:50+00:00,1,1,,,,
1.02E+18,Ruben_dplopez,"El problema de #Hereditary es que quiere acaparar el mÃ¡ximo de sub gÃ©neros del terror. Y eso cansa. Utiliza clichÃ©s bÃ¡sicos. Usa la baza de niÃ±a rara, enfermedad mental, ouija, sectas, brujerÃ_a, apariciones, Ã¡ticos de casa encantadas y cierra con final sobrenatural",2018-07-06 23:30:17+00:00,0,,,,,
1.02E+18,veronicarodz_,Necesito ver The Purge y Hereditary,2018-07-06 23:30:11+00:00,1,1,,,,
1.02E+18,Study_Breaks,"Need more #Hereditary and ""A Quiet Place""? Here are the scariest horror releases coming out later this year.https://buff.ly/2KSXRpe",2018-07-06 23:30:05+00:00,1,1,,,,
1.02E+18,Niamhyy___,I just laughed when Hereditary finished cos I just didnâ€™t know how to deal with my emotions,2018-07-06 23:28:19+00:00,1,2,,,,
1.02E+18,chiefpenguin18,Racism is hereditary.,2018-07-06 23:27:51+00:00,0,,,,,
1.02E+18,chiefpenguin18,Racism is hereditary. https://twitter.com/johniadarola/status/1015116299431604224 â€?2018-07-06 23:27:45+00:00,,0,,,,,
1.02E+18,Meggsncoffee,"If you're trying to lose weight, may I suggest watching Hereditary? You won't want to eat after that experience.",2018-07-06 23:27:20+00:00,1,2,,,,
1.02E+18,IV_Eyes,Washed RT @beetaylora I got drunk watching Hereditary and fell asleep the first part of the movie lmao,2018-07-06 23:27:03+00:00,1,0,,,,
1.02E+18,diianfatma,Ingin nonton hereditary tapi tackut. Gimana tuh?,2018-07-06 23:27:02+00:00,0,,,,,
1.02E+18,HorrorStab,"Nuovo trailer italiano di Hereditary: Dal 25 Luglio al cinema! Il film, scritto e direttoâ€?https://goo.gl/fb/vS4wnr",2018-07-06 23:25:39+00:00,0,,,,,
1.02E+18,Sephyxl,Hereditary es lo peor que me ha pasado en mucho tiempo. A la hora ya me estaba desquiciando.,2018-07-06 23:24:26+00:00,1,1,,,,
1.02E+18,citlalligp,Yo bien poderosa ayer escogiendo una peli de miedo en el cine. SalÃ_ TEM-BLAN-DO. QuÃ© bonito es el terror bien hecho #Hereditary,2018-07-06 23:22:32+00:00,1,2,,,,
1.02E+18,speedboatirv,I'm glad you agree. Must be a hereditary thing,2018-07-06 23:22:29+00:00,0,,,,,
1.02E+18,beetaylora,I got drunk watching Hereditary and fell asleep the first part of the movie lmao,2018-07-06 23:22:23+00:00,1,0,,,,
1.02E+18,MadiSarlo,"(4) and in response to my scoliosis the most common remark is â€œthatâ€™s why you shouldnâ€™t slouch so much as a kid!!!1â€?nope, itâ€™s hereditary..",2018-07-06 23:21:59+00:00,0,,,,,
1.02E+18,CuteLazyAss,Acabo de ver Hereditary y no entendÃ_ un carajo,2018-07-06 23:21:10+00:00,0,,,,,
1.02E+18,ByronBucao,"Finally got to see the movie #Hereditary last night. Man, that movie was so dark and twisted. Left me feeling all kinds of fucked up lol",2018-07-06 23:20:18+00:00,1,2,,,,
1.02E+18,alangee24,Still havenâ€™t seen Hereditary ;((,2018-07-06 23:18:28+00:00,1,1,,,,
1.02E+18,TheOkayIvan,Hereditary (2018) pic.twitter.com/UCaANwKrZj,2018-07-06 23:18:04+00:00,1,1,,,,
1.02E+18,okchalamet,alex wolff really popped off in hereditary,2018-07-06 23:17:29+00:00,1,1,,,,
1.02E+18,OzJohnny,"#Hereditary is utter, utter toilet. It makes no sense and is utterly incoherent. People in the cinema laughed out loud at one part towards the end. #shite #pointless",2018-07-06 23:17:18+00:00,1,0,,,,
